,,,,,,,
Variable name:,category,"Frequency (mon, 3-h) and spatial (e.g. 3h-global, 3h-station, mon-global, mon-region)","Operation ('A','I',or max)",Keep/reject: mon-global,Keep/reject: 3-h-station,"Dimensions (2D,3D)",
NMR01',szdst,"mon-global, 3-h-station","A,I",,k,3d,
NMR02',szdst,"mon-global, 3-h-station","A,I",,k,3d,
NMR04',szdst,"mon-global, 3-h-station","A,I",,k,3d,
NMR05',szdst,"mon-global, 3-h-station","A,I",,k,3d,
NMR06',szdst,"mon-global, 3-h-station","A,I",,k,3d,
NMR07',szdst,"mon-global, 3-h-station","A,I",,k,3d,
NMR08',szdst,"mon-global, 3-h-station","A,I",sr,k,3d,Why?
NMR09',szdst,"mon-global, 3-h-station","A,I",sr,k,3d,Why?
NMR10',szdst,"mon-global, 3-h-station","A,I",sr,k,3d,Why?
NMR12',szdst,"mon-global, 3-h-station","A,I",Sr,k,3d,Why?
NMR14',szdst,"mon-global, 3-h-station","A,I",Sr,k,3d,
SOLIN,rad,mon-global,A,k,,2d,
FSDS,rad,mon-global,A,k,,2d,
FSDS_DSTA2,rad,mon-global,A,k,,2d,Need some code modification
FSDS_DSTA3,rad,mon-global,A,k,,2d,Need some code modification
FSUTOA,rad,mon-global,A,k,,2d,
FSNS,rad,mon-global,A,k,,2d,
FSDSC,rad,mon-global,A,k,,2d,
FLUTC,rad,mon-global,A,k,,2d,
FLUT,rad,mon-global,A,k,,2d,
FLDS,rad,mon-global,A,k,,2d,
FLNT_DRF,rad,mon-global,A,k,,2d,
FSNT_DRF,rad,mon-global,A,k,,2d,
FSNTCDRF,rad,mon-global,A,k,,2d,
FSNT_DSTA2,rad,mon-global,A,k,,2d,
FSNT_DSTA3,rad,mon-global,A,k,,2d,
FLNT_DSTA2,rad,mon-global,A,k,,2d,Need some code modification
FLNT_DSTA3,rad,mon-global,A,k,,2d,Need some code modification
FSNTCDRF_DSTA2,rad,mon-global,A,k,,2d,Need some code modification
FSNTCDRF_DSTA3,rad,mon-global,A,k,,2d,Need some code modification
DOD10UM,rad,mon-global,A,,,2d,Need some code modification
DOD10UMA2,rad,mon-global,A,sr,,2d,Need some code modification
DOD10UMA3,rad,mon-global,A,sr,,2d,Need some code modification
D550_DU,rad,"mon-global, 3-h-station","A,I",k,,2d,Need some code modification
D550_DUA2,rad,mon-global,A,k,,2d,Need some code modification
D550_DUA3,rad,mon-global,A,k,,2d,Need some code modification
A550_DU,rad,mon-global,A,k,,2d,
DOD550,rad,mon-global,A,k,,2d,
ABS550AL,rad,mon-global,A,k,,2d,
DST_A2DDF,aerdep,mon-global,A,k,,,
DST_A2_OCWDDF,aerdep,mon-global,A,k,,,
DST_A3DDF,aerdep,mon-global,A,k,,,
DST_A3_OCWDDF,aerdep,mon-global,A,k,,,
DST_A2SFWET,aerdep,mon-global,A,k,,,
DST_A3SFWET,aerdep,mon-global,A,k,,,
DST_A2_OCWSFWET,aerdep,mon-global,A,k,,,
DST_A3_OCWSFWET,aerdep,mon-global,A,k,,,
